T(K),Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO,Fe2O3,GAMMA
1635,0.056015388,0.096874201,0.154258631,0.47562348,0.011167055,0.104990257,0.013643958,0.000866274,0.075067425,0.00767735,0.95269459
1635,0.045727207,0.086611902,0.154540026,0.381224673,0.030039856,0.179217987,0.021387497,0.001519511,0.078516154,0.007938243,0.690723273
1635,0.029783346,0.103436631,0.119936368,0.3954732,0.038306453,0.159204617,0.044182829,0.001139455,0.092648958,0.00887218,0.718175726
1635,0.055192751,0.088795664,0.153348913,0.471129935,0.015498617,0.098717869,0.022926788,0.000637155,0.081329362,0.00825842,0.948949735
1634,0.020780768,0.089872183,0.167479457,0.40339429,0.011993156,0.191248006,0.021839616,0.00154139,0.080685249,0.005679922,0.810455587
1634,0.019588249,0.092097419,0.163403676,0.407715419,0.011197255,0.191878229,0.022900882,0.003425872,0.077269943,0.004843428,0.816204406
1634,0.051467951,0.095673609,0.153304892,0.475245165,0.006402805,0.105346417,0.013590102,0.001041093,0.042111529,0.050959682,1.00371938
1634,0.06799004,0.086036615,0.181990701,0.519329999,0.014481035,0.071942214,0.005089845,0.000464495,0.024547041,0.025042555,1.051236932
1634,0.075594414,0.08230228,0.147813599,0.362995875,0.038686667,0.172631099,0.020379471,0.001433605,0.030508468,0.058373915,0.555426613
1634,0.047103811,0.090257579,0.148005746,0.483385865,0.01113083,0.101118875,0.023125236,0.001540605,0.038645319,0.05023093,1.020376994
1637,0.053708859,0.096132464,0.14990768,0.478066696,0.008314029,0.106892504,0.013696661,0.001757263,0.073778638,0.013874789,0.971781512
1637,0.057446729,0.085933012,0.150537965,0.373130183,0.036086091,0.177075309,0.020616102,0.003109817,0.061481678,0.023179299,0.621235911
1637,0.038161258,0.101997597,0.113038355,0.383657156,0.053778263,0.155912673,0.042231886,0.002360382,0.077103323,0.025319064,0.625828263
1637,0.071226996,0.085534102,0.181002441,0.520765135,0.016861457,0.071148289,0.004999711,0.001002125,0.037574885,0.006900115,1.021506239
1637,0.05688864,0.090923902,0.154870226,0.489264068,0.017100324,0.098089605,0.023403836,0.001386405,0.046417607,0.015684012,0.967876641
1639,0.031358905,0.097212607,0.15969376,0.489171576,0.008177211,0.109707333,0.013952675,0.000797164,0.07912654,0.00487476,1.109125779
1639,0.010421665,0.104998277,0.122663556,0.405993336,0.017997026,0.164892399,0.044607291,0.001077043,0.11160656,0.009765574,0.867806874
1639,0.008823382,0.091950899,0.164092074,0.406601445,0.006686438,0.190906196,0.023264123,0.003365399,0.084062004,0.007638326,0.923015885
1639,0.035986308,0.086203565,0.14275683,0.457350391,0.007154765,0.093981331,0.022006233,0.001430408,0.144488088,0.003803098,1.07009095
1633,0.04748914,0.095719147,0.153168536,0.480735506,0.005220437,0.105969675,0.013514351,0.001770569,0.024567756,0.069685251,1.015518522
